$GPGGA,000033.00,2813.3385642,N,11259.4849346,E,1,16,0.8,69.3258,M,-16.713,M,,*44
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,4,1,16,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*6C
$BDGSV,4,2,16,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*69
$BDGSV,4,3,16,188,70,351,41,159,63,273,41,169,79,185,41,170,24,147,41*69
$BDGSV,4,4,16,175,35,317,41,178,55,006,41,179,26,160,41,180,33,185,41*6E
$GPGGA,000034.00,2813.3388804,N,11259.4857644,E,1,17,0.8,68.7243,M,-16.713,M,,*44
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,17,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*6C
$BDGSV,5,2,17,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*69
$BDGSV,5,3,17,188,70,351,41,159,63,273,41,160,52,026,41,169,79,185,41*6F
$BDGSV,5,4,17,170,24,147,41,175,35,317,41,178,55,006,41,179,26,160,41*69
$BDGSV,5,5,17,180,33,185,41,,,,,,,,,,,,*6E
$GPGGA,000035.00,2813.3391492,N,11259.4857897,E,1,17,0.8,69.2697,M,-16.713,M,,*47
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,17,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*6C
$BDGSV,5,2,17,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*69
$BDGSV,5,3,17,188,70,352,41,159,63,273,41,160,52,026,41,169,79,185,41*6C
$BDGSV,5,4,17,170,24,147,41,175,35,317,41,178,55,006,41,179,26,160,41*69
$BDGSV,5,5,17,180,33,185,41,,,,,,,,,,,,*6E
$GPGGA,000036.00,2813.3394427,N,11259.4856569,E,1,17,0.8,69.8955,M,-16.713,M,,*49
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,17,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*6C
$BDGSV,5,2,17,143,59,185,42,144,31,112,41,141,44,126,41,142,45,231,41*6A
$BDGSV,5,3,17,188,70,352,41,159,63,273,41,160,52,026,41,169,79,185,41*6C
$BDGSV,5,4,17,170,24,147,41,175,35,317,41,178,55,006,41,179,26,160,41*69
$BDGSV,5,5,17,180,33,185,41,,,,,,,,,,,,*6E
$GPGGA,000037.00,2813.3396107,N,11259.4856058,E,1,17,0.8,70.4114,M,-16.713,M,,*43
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,73,162,41,188,70,352,41,159,63,273,41,160,52,026,41*63
$BDGSV,5,4,18,169,79,185,41,170,24,147,41,175,35,317,41,178,55,006,41*66
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000038.00,2813.3397004,N,11259.4856026,E,1,17,0.8,70.6460,M,-16.713,M,,*42
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,42,145,23,251,41*60
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,73,162,41,188,70,352,41,159,63,273,41,160,52,026,41*63
$BDGSV,5,4,18,169,79,185,41,170,24,147,41,175,35,317,41,178,55,006,41*66
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000039.00,2813.3397720,N,11259.4856045,E,1,17,0.8,70.8012,M,-16.713,M,,*48
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,73,162,41,188,70,352,42,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000040.00,2813.3397732,N,11259.4855911,E,1,18,0.8,71.0024,M,-16.713,M,,*4D
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,341,41,188,70,352,41,159,63,273,41,160,52,026,41*63
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000041.00,2813.3397669,N,11259.4855789,E,1,18,0.8,71.0739,M,-16.713,M,,*47
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,341,41,188,70,352,41,159,63,273,41,160,52,026,41*63
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000042.00,2813.3397504,N,11259.4855670,E,1,18,0.8,71.2566,M,-16.713,M,,*41
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,341,41,188,70,352,41,159,63,273,41,160,52,026,41*63
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000043.00,2813.3397255,N,11259.4855707,E,1,18,0.8,71.4198,M,-16.713,M,,*41
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000044.00,2813.3397131,N,11259.4855765,E,1,18,0.8,71.5358,M,-16.713,M,,*4C
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000045.00,2813.3397017,N,11259.4855817,E,1,18,0.8,71.6289,M,-16.713,M,,*4C
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000046.00,2813.3397020,N,11259.4855893,E,1,18,0.8,71.6860,M,-16.713,M,,*4A
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000047.00,2813.3397151,N,11259.4855743,E,1,18,0.8,71.6774,M,-16.713,M,,*44
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,42,144,31,112,41,141,44,126,41,142,45,231,41*65
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,40,160,52,026,41*61
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000048.00,2813.3397227,N,11259.4855365,E,1,18,0.8,71.6805,M,-16.713,M,,*40
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000049.00,2813.3397253,N,11259.4854877,E,1,18,0.8,71.7062,M,-16.713,M,,*43
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000050.00,2813.3397441,N,11259.4854407,E,1,18,0.8,71.6520,M,-16.713,M,,*47
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000051.00,2813.3397577,N,11259.4854000,E,1,18,0.8,71.5930,M,-16.713,M,,*4F
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000052.00,2813.3397547,N,11259.4853496,E,1,18,0.8,71.5601,M,-16.713,M,,*4E
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000053.00,2813.3397622,N,11259.4853243,E,1,18,0.8,71.5164,M,-16.713,M,,*45
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,42,180,33,185,41,,,,,,,,*6B
$GPGGA,000054.00,2813.3397672,N,11259.4853165,E,1,18,0.8,71.5455,M,-16.713,M,,*47
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,42,170,24,147,41,175,35,317,41,178,55,006,41*64
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000055.00,2813.3397683,N,11259.4853042,E,1,18,0.8,71.5375,M,-16.713,M,,*49
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000056.00,2813.3397761,N,11259.4852964,E,1,18,0.8,71.5199,M,-16.713,M,,*4B
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000057.00,2813.3397810,N,11259.4852875,E,1,18,0.8,71.5381,M,-16.713,M,,*49
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*66
$BDGSV,5,3,18,148,52,342,41,188,70,352,41,159,63,273,41,160,52,026,41*60
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,41*67
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000058.00,2813.3397679,N,11259.4852625,E,1,18,0.8,71.6122,M,-16.713,M,,*44
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,18,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*63
$BDGSV,5,2,18,143,59,185,41,144,31,112,41,141,44,126,42,142,45,231,41*65
$BDGSV,5,3,18,148,52,342,41,188,70,352,42,159,63,273,41,160,52,026,41*63
$BDGSV,5,4,18,169,79,184,41,170,24,147,41,175,35,317,41,178,55,006,42*64
$BDGSV,5,5,18,179,26,160,41,180,33,185,41,,,,,,,,*68
$GPGGA,000059.00,2813.3397667,N,11259.4852602,E,1,19,0.8,71.6165,M,-16.713,M,,*4D
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,42,153,49,320,41,150,42,213,41,145,23,251,42*62
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,41*6A
$BDGSV,5,5,19,178,55,006,41,179,26,160,41,180,33,185,41,,,,*64
$GPGGA,000100.00,2813.3397670,N,11259.4852598,E,1,19,0.8,71.6129,M,-16.713,M,,*4E
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*62
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,41*6A
$BDGSV,5,5,19,178,55,006,41,179,26,160,41,180,33,185,41,,,,*64
$GPGGA,000101.00,2813.3397656,N,11259.4852588,E,1,19,0.8,71.6228,M,-16.713,M,,*48
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*62
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,41*6A
$BDGSV,5,5,19,178,55,006,41,179,26,160,41,180,33,185,41,,,,*64
$GPGGA,000102.00,2813.3397642,N,11259.4852566,E,1,19,0.8,71.6219,M,-16.713,M,,*4C
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*62
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,41*6A
$BDGSV,5,5,19,178,55,006,41,179,26,160,41,180,33,185,41,,,,*64
$GPGGA,000103.00,2813.3397648,N,11259.4852535,E,1,19,0.8,71.6129,M,-16.713,M,,*41
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,41,153,49,320,41,150,42,213,42,145,23,251,41*61
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,42*69
$BDGSV,5,5,19,178,55,006,41,179,26,160,41,180,33,185,41,,,,*64
$GPGGA,000104.00,2813.3397663,N,11259.4852525,E,1,19,0.8,71.5944,M,-16.713,M,,*4E
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*62
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,41*6A
$BDGSV,5,5,19,178,55,006,41,179,26,160,41,180,33,185,41,,,,*64
$GPGGA,000105.00,2813.3397660,N,11259.4852507,E,1,19,0.8,71.5926,M,-16.713,M,,*48
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*62
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,41*6A
$BDGSV,5,5,19,178,55,006,41,179,26,160,41,180,33,185,41,,,,*64
$GPGGA,000106.00,2813.3397664,N,11259.4852506,E,1,19,0.8,71.5875,M,-16.713,M,,*49
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*62
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,41*6A
$BDGSV,5,5,19,178,55,006,41,179,26,160,41,180,33,185,41,,,,*64
$GPGGA,000107.00,2813.3397669,N,11259.4852500,E,1,19,0.8,71.5782,M,-16.713,M,,*44
$GPGSV,1,1,00,,,,,,,,,,,,,,,,*79
$BDGSV,5,1,19,147,36,197,41,153,49,320,41,150,42,213,41,145,23,251,41*62
$BDGSV,5,2,19,143,59,185,41,144,31,112,41,141,44,126,41,142,45,231,41*67
$BDGSV,5,3,19,148,52,342,41,156,20,165,41,188,70,352,41,159,63,273,41*67
$BDGSV,5,4,19,160,52,026,41,169,79,184,41,170,24,147,41,175,35,317,41*6A
$BDGSV,5,5,19,178,55,006,41,179,26,160,40,180,33,185,41,,,,*65
